Reference, Value, Footprint, Datasheet
P4,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
C1,10uF,Capacitors_SMD:C_0603_HandSoldering,
C4,10uF,Capacitors_SMD:C_0603_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
R3,220,Resistors_SMD:R_0603,
R1,4.7K,Resistors_SMD:R_0603,
R2,4.7K,Resistors_SMD:R_0603,
R4,4.7K,Resistors_SMD:R_0603,
C3,0.1uF,Capacitors_SMD:C_0603_HandSoldering,
D1,PWR,LEDs:LED_0603,
D2,TXD,LEDs:LED_0603,
D3,RXD,LEDs:LED_0603,
C5,22pF,Capacitors_SMD:C_0603_HandSoldering,
C6,22pF,Capacitors_SMD:C_0603_HandSoldering,
D4,3V3,Diodes_SMD:SOD-123,
U1,CH340G,SMD_Packages:SO-16-N,
P1,PWR,Pin_Headers:Pin_Header_Straight_1x03,
P3,PWR_SEL,Pin_Headers:Pin_Header_Straight_1x03,
X1,CRYSTAL_SMD,Crystals:Resonator_3.2x1.5mm,
P2,USB_OTG,Connect:USB_Micro-B,
